,I1,I2,contrast,fwhm
0,1.0,1.0,0.04981435458292715,0.28070175438596445
1,1.0,1.5,0.056165818774089465,0.3007518796992479
2,1.0,2.0,0.05835773054742581,0.28070175438596445
3,1.0,2.5,0.058342808519303145,0.3007518796992479
4,1.0,3.0,0.05711055809168155,0.28070175438596445
5,1.5,1.5,0.06583656540239592,0.28070175438596445
6,1.5,2.0,0.07036209475441242,0.28070175438596445
7,1.5,2.5,0.0718500015721832,0.3007518796992479
8,1.5,3.0,0.07149924689613935,0.28070175438596445
9,2.0,2.0,0.07678249071976156,0.28070175438596445
10,2.0,2.5,0.07970867657592741,0.28070175438596445
11,2.0,3.0,0.08037930962985627,0.28070175438596445
12,2.5,2.5,0.08383733507113292,0.3007518796992479
13,2.5,3.0,0.08546904842284397,0.3007518796992479
14,3.0,3.0,0.0879404320574536,0.3007518796992479
